Bnccindx,Calculation1,Category,Date
52.5414,Economic Mood Index,British Columbia,6/30/2008
54.2798,Economic Mood Index,British Columbia,9/30/2008
43.7436,Economic Mood Index,British Columbia,12/31/2008
40.9199,Economic Mood Index,British Columbia,3/31/2009
52.661,Economic Mood Index,British Columbia,6/30/2009
60.0542,Economic Mood Index,British Columbia,9/30/2009
62.289,Economic Mood Index,British Columbia,12/31/2009
62.3339,Economic Mood Index,British Columbia,3/31/2010
59.323,Economic Mood Index,British Columbia,6/30/2010
56.0791,Economic Mood Index,British Columbia,9/30/2010
57.3521,Economic Mood Index,British Columbia,12/31/2010
61.7456,Economic Mood Index,British Columbia,3/31/2011
58.4457,Economic Mood Index,British Columbia,6/30/2011
52.9857,Economic Mood Index,British Columbia,9/30/2011
53.9216,Economic Mood Index,British Columbia,12/31/2011
55.7326,Economic Mood Index,British Columbia,2/28/2012
53.1388,Economic Mood Index,British Columbia,3/31/2012
53.9599,Economic Mood Index,British Columbia,4/30/2012
50.2078,Economic Mood Index,British Columbia,5/31/2012
49.8156,Economic Mood Index,British Columbia,6/30/2012
52.0817,Economic Mood Index,British Columbia,7/31/2012
50.6677,Economic Mood Index,British Columbia,8/31/2012
50.06,Economic Mood Index,British Columbia,9/30/2012
50.4282,Economic Mood Index,British Columbia,10/31/2012
50.729,Economic Mood Index,British Columbia,11/30/2012
49.3705,Economic Mood Index,British Columbia,12/31/2012
49.138,Economic Mood Index,British Columbia,1/31/2013
49.6485,Economic Mood Index,British Columbia,2/28/2013
47.3705,Economic Mood Index,British Columbia,3/31/2013
45.8602,Economic Mood Index,British Columbia,4/30/2013
55.4469,Economic Mood Index,British Columbia,5/24/2013
57.2418,Economic Mood Index,British Columbia,5/31/2013
57.6224,Economic Mood Index,British Columbia,6/7/2013
55.8789,Economic Mood Index,British Columbia,6/14/2013
56.2868,Economic Mood Index,British Columbia,6/21/2013
54.0479,Economic Mood Index,British Columbia,6/28/2013
58.6213,Economic Mood Index,British Columbia,7/5/2013
57.7934,Economic Mood Index,British Columbia,7/12/2013
58.0035,Economic Mood Index,British Columbia,7/19/2013
58.8956,Economic Mood Index,British Columbia,7/26/2013
59.8056,Economic Mood Index,British Columbia,8/2/2013
59.2055,Economic Mood Index,British Columbia,8/9/2013
57.4109,Economic Mood Index,British Columbia,8/16/2013
55.0829,Economic Mood Index,British Columbia,8/23/2013
53.986,Economic Mood Index,British Columbia,8/30/2013
53.9001,Economic Mood Index,British Columbia,9/6/2013
57.4943,Economic Mood Index,British Columbia,9/13/2013
58.8329,Economic Mood Index,British Columbia,9/20/2013
59.1369,Economic Mood Index,British Columbia,9/27/2013
59.1839,Economic Mood Index,British Columbia,10/4/2013
56.7895,Economic Mood Index,British Columbia,10/11/2013
57.5943,Economic Mood Index,British Columbia,10/18/2013
55.9879,Economic Mood Index,British Columbia,10/25/2013
55.67,Economic Mood Index,British Columbia,11/1/2013
54.3039,Economic Mood Index,British Columbia,11/8/2013
54.9716,Economic Mood Index,British Columbia,11/15/2013
57.9932,Economic Mood Index,British Columbia,11/22/2013
58.6218,Economic Mood Index,British Columbia,11/29/2013
60.7846,Economic Mood Index,British Columbia,12/6/2013
59.9298,Economic Mood Index,British Columbia,12/13/2013
58.9949,Economic Mood Index,British Columbia,12/20/2013
59.0903,Economic Mood Index,British Columbia,12/27/2013
56.7613,Economic Mood Index,British Columbia,1/3/2014
56.5038,Economic Mood Index,British Columbia,1/10/2014
55.5987,Economic Mood Index,British Columbia,1/17/2014
55.1165,Economic Mood Index,British Columbia,1/24/2014
55.8786,Economic Mood Index,British Columbia,1/31/2014
54.2305,Economic Mood Index,British Columbia,2/7/2014
55.0052,Economic Mood Index,British Columbia,2/14/2014
57.1062,Economic Mood Index,British Columbia,2/21/2014
58.735,Economic Mood Index,British Columbia,2/28/2014
59.3377,Economic Mood Index,British Columbia,3/7/2014
59.1799,Economic Mood Index,British Columbia,3/14/2014
57.3144,Economic Mood Index,British Columbia,3/21/2014
57.3699,Economic Mood Index,British Columbia,3/28/2014
59.2592,Economic Mood Index,British Columbia,4/4/2014
59.2314,Economic Mood Index,British Columbia,4/11/2014
60.017,Economic Mood Index,British Columbia,4/18/2014
59.9946,Economic Mood Index,British Columbia,4/25/2014
58.2032,Economic Mood Index,British Columbia,5/2/2014
60.6351,Economic Mood Index,British Columbia,5/9/2014
61.2181,Economic Mood Index,British Columbia,5/16/2014
61.5924,Economic Mood Index,British Columbia,5/23/2014
62.7081,Economic Mood Index,British Columbia,5/30/2014
59.9322,Economic Mood Index,British Columbia,6/6/2014
58.3444,Economic Mood Index,British Columbia,6/13/2014
56.8655,Economic Mood Index,British Columbia,6/20/2014
57.7792,Economic Mood Index,British Columbia,6/27/2014
57.8067,Economic Mood Index,British Columbia,7/4/2014
57.2384,Economic Mood Index,British Columbia,7/11/2014
57.6341,Economic Mood Index,British Columbia,7/18/2014
56.2309,Economic Mood Index,British Columbia,7/25/2014
57.3914,Economic Mood Index,British Columbia,8/1/2014
57.225,Economic Mood Index,British Columbia,8/8/2014
57.1594,Economic Mood Index,British Columbia,8/15/2014
58.0853,Economic Mood Index,British Columbia,8/22/2014
56.9457,Economic Mood Index,British Columbia,8/29/2014
58.6803,Economic Mood Index,British Columbia,9/5/2014
58.5656,Economic Mood Index,British Columbia,9/12/2014
59.3684,Economic Mood Index,British Columbia,9/19/2014
60.6589,Economic Mood Index,British Columbia,9/26/2014
60.6492,Economic Mood Index,British Columbia,10/3/2014
61.3292,Economic Mood Index,British Columbia,10/10/2014
60.7243,Economic Mood Index,British Columbia,10/17/2014
60.3028,Economic Mood Index,British Columbia,10/24/2014
58.7027,Economic Mood Index,British Columbia,10/31/2014
57.6283,Economic Mood Index,British Columbia,11/7/2014
58.4807,Economic Mood Index,British Columbia,11/14/2014
57.813,Economic Mood Index,British Columbia,11/21/2014
60.286,Economic Mood Index,British Columbia,11/28/2014
59.9722,Economic Mood Index,British Columbia,12/5/2014
59.3822,Economic Mood Index,British Columbia,12/12/2014
60.2875,Economic Mood Index,British Columbia,12/19/2014
58.1942,Economic Mood Index,British Columbia,12/26/2014
58.4021,Economic Mood Index,British Columbia,1/2/2015
57.8818,Economic Mood Index,British Columbia,1/9/2015
58.2115,Economic Mood Index,British Columbia,1/16/2015
57.6897,Economic Mood Index,British Columbia,1/23/2015
57.6666,Economic Mood Index,British Columbia,1/30/2015
56.9062,Economic Mood Index,British Columbia,2/6/2015
56.2154,Economic Mood Index,British Columbia,2/13/2015
54.9667,Economic Mood Index,British Columbia,2/20/2015
54.0367,Economic Mood Index,British Columbia,2/27/2015
53.7535,Economic Mood Index,British Columbia,3/6/2015
54.025,Economic Mood Index,British Columbia,3/13/2015
58.063,Economic Mood Index,British Columbia,3/20/2015
59.9159,Economic Mood Index,British Columbia,3/27/2015
60.5228,Economic Mood Index,British Columbia,4/3/2015
61.0009,Economic Mood Index,British Columbia,4/10/2015
59.1088,Economic Mood Index,British Columbia,4/17/2015
57.6458,Economic Mood Index,British Columbia,4/24/2015
59.0633,Economic Mood Index,British Columbia,5/1/2015
58.4157,Economic Mood Index,British Columbia,5/8/2015
59.5168,Economic Mood Index,British Columbia,5/15/2015
61.4049,Economic Mood Index,British Columbia,5/22/2015
60.9114,Economic Mood Index,British Columbia,5/29/2015
58.9538,Economic Mood Index,British Columbia,6/5/2015
58.6462,Economic Mood Index,British Columbia,6/12/2015
57.9912,Economic Mood Index,British Columbia,6/19/2015
57.3305,Economic Mood Index,British Columbia,6/26/2015
59.8761,Economic Mood Index,British Columbia,7/3/2015
59.4615,Economic Mood Index,British Columbia,7/10/2015
58.6139,Economic Mood Index,British Columbia,7/17/2015
57.334,Economic Mood Index,British Columbia,7/24/2015
55.7757,Economic Mood Index,British Columbia,7/31/2015
53.2857,Economic Mood Index,British Columbia,8/7/2015
54.0069,Economic Mood Index,British Columbia,8/14/2015
55.1838,Economic Mood Index,British Columbia,8/21/2015
55.2368,Economic Mood Index,British Columbia,8/28/2015
56.3407,Economic Mood Index,British Columbia,9/4/2015
56.4899,Economic Mood Index,British Columbia,9/11/2015
56.5688,Economic Mood Index,British Columbia,9/18/2015
57.9309,Economic Mood Index,British Columbia,9/25/2015
59.3241,Economic Mood Index,British Columbia,10/2/2015
58.8757,Economic Mood Index,British Columbia,10/9/2015
60.4745,Economic Mood Index,British Columbia,10/16/2015
60.7206,Economic Mood Index,British Columbia,10/23/2015
60.4824,Economic Mood Index,British Columbia,10/30/2015
63.2873,Economic Mood Index,British Columbia,11/6/2015
63.7592,Economic Mood Index,British Columbia,11/13/2015
63.1438,Economic Mood Index,British Columbia,11/20/2015
63.2369,Economic Mood Index,British Columbia,11/27/2015
61.8104,Economic Mood Index,British Columbia,12/4/2015
60.3466,Economic Mood Index,British Columbia,12/11/2015
60.0493,Economic Mood Index,British Columbia,12/18/2015
59.8507,Economic Mood Index,British Columbia,12/25/2015
59.2444,Economic Mood Index,British Columbia,1/1/2016
59.4251,Economic Mood Index,British Columbia,1/8/2016
59.9792,Economic Mood Index,British Columbia,1/15/2016
59.5667,Economic Mood Index,British Columbia,1/22/2016
58.5621,Economic Mood Index,British Columbia,1/29/2016
57.9847,Economic Mood Index,British Columbia,2/5/2016
56.0122,Economic Mood Index,British Columbia,2/12/2016
56.3754,Economic Mood Index,British Columbia,2/19/2016
55.7749,Economic Mood Index,British Columbia,2/26/2016
55.0725,Economic Mood Index,British Columbia,3/4/2016
57.2753,Economic Mood Index,British Columbia,3/11/2016
58.7808,Economic Mood Index,British Columbia,3/18/2016
60.5493,Economic Mood Index,British Columbia,3/25/2016
61.0245,Economic Mood Index,British Columbia,4/1/2016
60.8341,Economic Mood Index,British Columbia,4/8/2016
60.0347,Economic Mood Index,British Columbia,4/15/2016
60.84,Economic Mood Index,British Columbia,4/22/2016
65.1341,Economic Mood Index,British Columbia,4/29/2016
66.0427,Economic Mood Index,British Columbia,5/6/2016
66.8632,Economic Mood Index,British Columbia,5/13/2016
67.093,Economic Mood Index,British Columbia,5/20/2016
63.3545,Economic Mood Index,British Columbia,5/27/2016
64.6541,Economic Mood Index,British Columbia,6/3/2016
64.9181,Economic Mood Index,British Columbia,6/10/2016
65.1274,Economic Mood Index,British Columbia,6/17/2016
66.6355,Economic Mood Index,British Columbia,6/24/2016
64.2624,Economic Mood Index,British Columbia,6/30/2016
63.6817,Economic Mood Index,British Columbia,7/8/2016
63.7323,Economic Mood Index,British Columbia,7/15/2016
61.6789,Economic Mood Index,British Columbia,7/22/2016
63.4887,Economic Mood Index,British Columbia,7/29/2016
63.0031,Economic Mood Index,British Columbia,8/5/2016
61.8512,Economic Mood Index,British Columbia,8/12/2016
65.2425,Economic Mood Index,British Columbia,8/19/2016
63.1206,Economic Mood Index,British Columbia,8/26/2016
61.4519,Economic Mood Index,British Columbia,9/2/2016
58.5147,Economic Mood Index,British Columbia,9/9/2016
54.174,Economic Mood Index,British Columbia,9/16/2016
55.1189,Economic Mood Index,British Columbia,9/23/2016
54.9504,Economic Mood Index,British Columbia,9/30/2016
58.5546,Economic Mood Index,British Columbia,10/7/2016
59.8405,Economic Mood Index,British Columbia,10/14/2016
59.7026,Economic Mood Index,British Columbia,10/21/2016
60.5636,Economic Mood Index,British Columbia,10/28/2016
59.4667,Economic Mood Index,British Columbia,11/4/2016
58.0949,Economic Mood Index,British Columbia,11/11/2016
57.1911,Economic Mood Index,British Columbia,11/18/2016
56.8522,Economic Mood Index,British Columbia,11/25/2016
57.3796,Economic Mood Index,British Columbia,12/2/2016
58.0928,Economic Mood Index,British Columbia,12/9/2016
59.7118,Economic Mood Index,British Columbia,12/16/2016
59.0667,Economic Mood Index,British Columbia,12/23/2016
57.8433,Economic Mood Index,British Columbia,12/30/2016
55.9032,Economic Mood Index,British Columbia,1/6/2017
55.5976,Economic Mood Index,British Columbia,1/13/2017
55.6296,Economic Mood Index,British Columbia,1/20/2017
58.6809,Economic Mood Index,British Columbia,1/27/2017
61.9078,Economic Mood Index,British Columbia,2/3/2017
61.4605,Economic Mood Index,British Columbia,2/10/2017
63.1044,Economic Mood Index,British Columbia,2/17/2017
62.5297,Economic Mood Index,British Columbia,2/24/2017
61.3991,Economic Mood Index,British Columbia,3/3/2017
61.2889,Economic Mood Index,British Columbia,3/10/2017
60.3252,Economic Mood Index,British Columbia,3/17/2017
59.1681,Economic Mood Index,British Columbia,3/24/2017
58.9142,Economic Mood Index,British Columbia,3/31/2017
60.3765,Economic Mood Index,British Columbia,4/7/2017
62.3454,Economic Mood Index,British Columbia,4/13/2017
62.8741,Economic Mood Index,British Columbia,4/21/2017
63.2404,Economic Mood Index,British Columbia,4/28/2017
63.2897,Economic Mood Index,British Columbia,5/5/2017
62.0035,Economic Mood Index,British Columbia,5/12/2017
63.0583,Economic Mood Index,British Columbia,5/19/2017
63.0846,Economic Mood Index,British Columbia,5/26/2017
62.9297,Economic Mood Index,British Columbia,6/2/2017
63.2613,Economic Mood Index,British Columbia,6/9/2017
62.8842,Economic Mood Index,British Columbia,6/16/2017
63.1921,Economic Mood Index,British Columbia,6/23/2017
64.8942,Economic Mood Index,British Columbia,6/30/2017
63.4273,Economic Mood Index,British Columbia,7/7/2017
63.0984,Economic Mood Index,British Columbia,7/14/2017
63.2835,Economic Mood Index,British Columbia,7/21/2017
65.5737,Economic Mood Index,British Columbia,7/28/2017
65.7996,Economic Mood Index,British Columbia,8/4/2017
66.5634,Economic Mood Index,British Columbia,8/11/2017
64.8112,Economic Mood Index,British Columbia,8/18/2017
62.9316,Economic Mood Index,British Columbia,8/25/2017
63.2701,Economic Mood Index,British Columbia,9/1/2017
62.8429,Economic Mood Index,British Columbia,9/8/2017
64.311,Economic Mood Index,British Columbia,9/15/2017
64.0947,Economic Mood Index,British Columbia,9/22/2017
62.7189,Economic Mood Index,British Columbia,9/29/2017
61.9847,Economic Mood Index,British Columbia,10/6/2017
62.6371,Economic Mood Index,British Columbia,10/13/2017
62.5643,Economic Mood Index,British Columbia,10/20/2017
60.6036,Economic Mood Index,British Columbia,10/27/2017
61.9585,Economic Mood Index,British Columbia,11/3/2017
61.4986,Economic Mood Index,British Columbia,11/10/2017
61.66,Economic Mood Index,British Columbia,11/17/2017
62.0144,Economic Mood Index,British Columbia,11/24/2017
62.0365,Economic Mood Index,British Columbia,12/1/2017
61.7474,Economic Mood Index,British Columbia,12/8/2017
62.7249,Economic Mood Index,British Columbia,12/15/2017
63.2569,Economic Mood Index,British Columbia,12/22/2017
64.7609,Economic Mood Index,British Columbia,12/29/2017
65.9492,Economic Mood Index,British Columbia,1/5/2018
66.5211,Economic Mood Index,British Columbia,1/12/2018
66.8357,Economic Mood Index,British Columbia,1/19/2018
64.757,Economic Mood Index,British Columbia,1/26/2018
63.5367,Economic Mood Index,British Columbia,2/2/2018
62.6994,Economic Mood Index,British Columbia,2/9/2018
61.5115,Economic Mood Index,British Columbia,2/16/2018
61.7113,Economic Mood Index,British Columbia,2/23/2018
59.3563,Economic Mood Index,British Columbia,3/2/2018
59.0355,Economic Mood Index,British Columbia,3/9/2018
59.0503,Economic Mood Index,British Columbia,3/16/2018
57.8285,Economic Mood Index,British Columbia,3/23/2018
60.1656,Economic Mood Index,British Columbia,3/29/2018
62.2821,Economic Mood Index,British Columbia,4/6/2018
61.3573,Economic Mood Index,British Columbia,4/13/2018
62.4239,Economic Mood Index,British Columbia,4/20/2018
61.195,Economic Mood Index,British Columbia,4/27/2018
60.4038,Economic Mood Index,British Columbia,5/4/2018
62.8314,Economic Mood Index,British Columbia,5/11/2018
63.2479,Economic Mood Index,British Columbia,5/18/2018
61.6016,Economic Mood Index,British Columbia,5/25/2018
65.6165,Economic Mood Index,British Columbia,6/1/2018
63.9801,Economic Mood Index,British Columbia,6/8/2018
59.8502,Economic Mood Index,British Columbia,6/15/2018
58.9819,Economic Mood Index,British Columbia,6/22/2018
55.9078,Economic Mood Index,British Columbia,6/29/2018
55.8413,Economic Mood Index,British Columbia,7/6/2018
55.6865,Economic Mood Index,British Columbia,7/13/2018
55.4037,Economic Mood Index,British Columbia,7/20/2018
55.6007,Economic Mood Index,British Columbia,7/27/2018
56.9408,Economic Mood Index,British Columbia,8/3/2018
56.4955,Economic Mood Index,British Columbia,8/10/2018
57.3965,Economic Mood Index,British Columbia,8/17/2018
57.266,Economic Mood Index,British Columbia,8/24/2018
56.8075,Economic Mood Index,British Columbia,8/31/2018
54.8228,Economic Mood Index,British Columbia,9/7/2018
54.4997,Economic Mood Index,British Columbia,9/14/2018
54.243,Economic Mood Index,British Columbia,9/21/2018
53.6839,Economic Mood Index,British Columbia,9/28/2018
56.7933,Economic Mood Index,British Columbia,10/5/2018
56.4415,Economic Mood Index,British Columbia,10/12/2018
56.8985,Economic Mood Index,British Columbia,10/19/2018
58.7296,Economic Mood Index,British Columbia,10/26/2018
58.8529,Economic Mood Index,British Columbia,11/2/2018
59.3712,Economic Mood Index,British Columbia,11/9/2018
57.1704,Economic Mood Index,British Columbia,11/16/2018
57.6039,Economic Mood Index,British Columbia,11/23/2018
54.538,Economic Mood Index,British Columbia,11/30/2018
51.4056,Economic Mood Index,British Columbia,12/7/2018
50.6605,Economic Mood Index,British Columbia,12/14/2018
48.435,Economic Mood Index,British Columbia,12/21/2018
49.1289,Economic Mood Index,British Columbia,12/28/2018
50.701,Economic Mood Index,British Columbia,1/4/2019
50.0302,Economic Mood Index,British Columbia,1/11/2019
51.706,Economic Mood Index,British Columbia,1/18/2019
52.9607,Economic Mood Index,British Columbia,1/25/2019
52.9513,Economic Mood Index,British Columbia,2/1/2019
56.0793,Economic Mood Index,British Columbia,2/8/2019
55.906,Economic Mood Index,British Columbia,2/15/2019
53.9934,Economic Mood Index,British Columbia,2/22/2019
54.0358,Economic Mood Index,British Columbia,3/1/2019
53.7718,Economic Mood Index,British Columbia,3/8/2019
51.3098,Economic Mood Index,British Columbia,3/15/2019
52.1644,Economic Mood Index,British Columbia,3/22/2019
52.2122,Economic Mood Index,British Columbia,3/29/2019
53.0463,Economic Mood Index,British Columbia,4/5/2019
52.7459,Economic Mood Index,British Columbia,4/12/2019
53.1268,Economic Mood Index,British Columbia,4/19/2019
52.6949,Economic Mood Index,British Columbia,4/26/2019
51.8524,Economic Mood Index,British Columbia,5/3/2019
50.5303,Economic Mood Index,British Columbia,5/10/2019
51.2146,Economic Mood Index,British Columbia,5/17/2019
52.1215,Economic Mood Index,British Columbia,5/24/2019
51.0966,Economic Mood Index,British Columbia,5/31/2019
52.2898,Economic Mood Index,British Columbia,6/7/2019
52.9557,Economic Mood Index,British Columbia,6/14/2019
50.9056,Economic Mood Index,British Columbia,6/21/2019
53.5462,Economic Mood Index,British Columbia,6/28/2019
55.2802,Economic Mood Index,British Columbia,7/5/2019
55.6079,Economic Mood Index,British Columbia,7/12/2019
58.139,Economic Mood Index,British Columbia,7/19/2019
58.3379,Economic Mood Index,British Columbia,7/26/2019
57.36,Economic Mood Index,British Columbia,8/2/2019
57.4828,Economic Mood Index,British Columbia,8/9/2019
57.0969,Economic Mood Index,British Columbia,8/16/2019
55.7187,Economic Mood Index,British Columbia,8/23/2019
55.2121,Economic Mood Index,British Columbia,8/30/2019
54.179,Economic Mood Index,British Columbia,9/6/2019
54.7985,Economic Mood Index,British Columbia,9/13/2019
54.9154,Economic Mood Index,British Columbia,9/20/2019
55.0303,Economic Mood Index,British Columbia,9/27/2019
56.8351,Economic Mood Index,British Columbia,10/4/2019
56.5055,Economic Mood Index,British Columbia,10/11/2019
55.9969,Economic Mood Index,British Columbia,10/18/2019
56.4289,Economic Mood Index,British Columbia,10/25/2019
54.9996,Economic Mood Index,British Columbia,11/1/2019
